BEZNR;AVERAGE_INCOME_TOTAL;AVERAGE_INCOME_MEN;AVERAGE_INCOME_WOMEN;AVERAGE_INCOME_FULLTIME_TOTAL;AVERAGE_INCOME_FULLTIME_MEN;AVERAGE_INCOME_FULLTIME_WOMEN;REF_DATE;BESCH_TOT;BESCH_M;BESCH_W;POP_DENSITY;RATE_M;RATE_F;WORKINGAGE_RATIO;YOUTH_RATIO;OLD_AGE_RATIO;QMPREIS_DURCH
1;34333;42585;25605;53082;62102;41994;20111231;106291;48604;57687;5944.94773519164;47.9310749032939;52.0689250967061;62.5835189309577;13.4450826397843;4.09096237252374;19.06
2;18838;20437;17047;28947;30621;26660;20111231;54783;28356;26427;5011.54086088584;48.7427646729321;51.2572353270679;64.7818509989419;19.5545735565652;2.4698657704197;14.35
3;22054;25152;18898;33536;36930;29273;20111231;89359;44079;45280;11687.2127602055;47.5769702296963;52.4230297703037;66.3794499317619;16.808540167935;2.62311767019037;14.86
4;23672;27557;19862;37539;41819;32425;20111231;25284;13000;12284;17761.1267605634;47.1769333248747;52.8230666751253;67.1794709128973;15.6283702340925;3.07048150732729;15.2
5;18532;20023;16928;28622;30248;26528;20111231;16476;9369;7107;26658.8761810045;48.9582361828729;51.0417638171271;69.5099886217381;16.7036615619929;2.15440861017329;14.4
6;21989;24772;19168;34513;38191;30102;20111231;25151;11604;13547;20588.4377150723;47.8188199899716;52.1811800100284;70.6735751295337;14.394116663881;2.51378906902892;14.98
7;22659;25823;19663;35408;38529;31787;20111231;27628;11917;15711;19272.8971962617;47.3765881097857;52.6234118902143;71.9684479358614;14.0755827110206;2.25648983286458;14.98
8;23262;26869;19829;37317;41277;32721;20111231;13760;5504;8256;22351.376146789;48.5613430201535;51.4386569798465;70.4428847022124;14.4194064770348;2.36834544185856;14.73
9;22229;25361;19209;36284;40147;31833;20111231;49910;22747;27163;13605.6622851365;47.6441736028537;52.3558263971463;69.9019024970274;14.4792905271502;2.76456599286564;14.38
10;18012;19581;16197;25880;27122;24032;20111231;58389;34518;23871;5652.49096338205;48.54421299643;51.45578700357;62.5410100425948;20.8147513818299;2.13585862517655;13.21
11;18958;20881;16792;26008;27378;23957;20111231;33677;21629;12048;3958.07353257364;48.743549350861;51.256450649139;63.6167092183171;22.1141832799174;1.51339018958118;12.08
12;18486;20069;16720;27330;28705;25385;20111231;31672;17633;14039;11062.9396519807;47.9323538926631;52.0676461073369;63.6792610689067;20.1019599968765;2.6784021061321;12.47
13;27763;34204;21671;40116;46201;32408;20111231;23495;10306;13189;1358.01781737194;45.4030730783498;54.5969269216502;57.4786700247955;17.4583650598411;4.75019035904645;14.37
14;21670;24414;18907;31227;33783;27904;20111231;23988;11369;12619;2541.77650090336;47.4352699899788;52.5647300100212;63.046214080962;18.0708009974597;2.94460369619427;12.78
15;16416;17342;15347;25289;26189;24016;20111231;25903;13258;12645;18706.4220183486;49.5109258351044;50.4890741648956;68.097106424718;18.6679200043594;1.88954280420686;12.93
16;18251;19548;16800;27301;28646;25487;20111231;25248;12519;12729;11205.4415494582;48.8651796370221;51.1348203629779;65.9070332112433;18.8423391909132;2.11222684061072;13.12
17;19510;21761;17109;30594;33120;27204;20111231;11617;5778;5839;4726.56386893289;48.4290719012401;51.5709280987599;65.7250366086489;18.463734267549;2.2836382509407;12.52
18;23771;28412;19339;36979;41831;31041;20111231;11535;4693;6842;7695.23960145501;46.06531434326;53.93468565674;63.834597283022;17.7076268573895;3.34998047557392;14.64
19;25372;30828;19915;39197;45084;31641;20111231;26040;11831;14209;2799.87171263631;45.9092210767469;54.0907789232531;59.2368270332188;17.5171821305842;4.52176403207331;15.26
20;17334;18534;15951;25798;26731;24439;20111231;24799;13197;11602;14869.877408056;49.089003262393;50.910996737607;65.1724828341597;19.5437360877195;1.87970367578645;13.04
21;20325;22816;17706;28091;30093;25281;20111231;48416;25559;22857;3262.09441519284;47.8692731110406;52.1307268889594;61.5158580159201;20.9906603942776;1.86861092333798;13.94
22;22026;25197;18790;29724;32105;26349;20111231;53679;28837;24842;1592.80401145572;47.8868399251327;52.1131600748673;62.2294498481176;22.7799085637139;1.50961922003007;16.41
23;23303;27206;19423;32006;35123;27767;20111231;51093;32794;18299;2959.31918077247;46.9378081152825;53.0621918847175;60.0229638056714;20.005898959255;2.67665276197699;13.41
